productId,available,name,size_value,brand,price_eur,price_per_kg_eur,main_category
229383,True,Shampoing antipelliculaire 2 en 1 classique,Le lot de 3 flacons de 300ml - 900ml,Head & Shoulders,8.9,9.88,Hygiène-Beauté
45224,True,Pâte à tartiner aux noisettes et au cacao,Le pot de 825g,Nutella,6.76,8.19,Epicerie-Sucrée
213600,True,White Now - Dentifrice blancheur original,Le lot de 3 tubes de 75ml - 225ml,Signal,4.74,21.02,Hygiène
209491,True,"Baby Dry - Couches taille 4, 9-14kg",le paquet de 45 couches,Pampers,10.49,0.24,Bébé
92939,True,Schoko-Bons - Bonbons de chocolat fourrés lait et noisettes,le sachet de 350 g,Kinder,5.49,15.69,Epicerie-Sucrée
212783,True,Pro Series 1 - Brosse à dents électrique bleue,l'unité,Oral-B,19.35,19.34,Hygiène
212968,True,Gel douche coco et huile de coco,Le lot de 3 flacons de 250ml - 750ml,Tahiti,3.29,4.39,Hygiène-Beauté
2240,True,Lentilles vertes,la boite de 500 g,"St Eloi, une marque Intermarché",1.64,3.28,Epicerie-Salée
2780,True,Mouliné légumes variés,la brique de 1 l,"St Eloi, une marque Intermarché",1.29,1.29,Fruits-Légumes
17754,True,Velouté potiron à la crème,la brique de 1 l,"St Eloi, une marque Intermarché",1.69,1.69,Epicerie-Salée
114170,True,Véritable cassoulet de Castelnaudary au canard,"la boite de 1,350 kg",Jean Larnaudie,9.77,7.24,Nos-régions-de-France
160723,True,Petits pots bébé purée de carottes jambon dès 6 mois,les 2 pots de 400g - 800g,Blédina,2.17,5.43,Bébé
24197,True,Sucre poudre,la poche de 750 g,Béghin Say,1.59,2.12,Epicerie-Sucrée
27147,True,Crème fouettée ferme et onctueuse entière,la bombe de 241 ml,Président,3.47,13.88,Produits-Laitiers-Œufs-et-Fromages
2060,True,Lait demi-écrémé BIO,les 6 bouteilles de 1 l - 6l,"Pâturages Bio, une marque Intermarché",6.7,1.12,Produits-Laitiers-Œufs-et-Fromages
26776,True,Emmental français râpé,le sachet de 350g,"Pâturages, une marque Intermarché",2.92,8.34,Produits-Laitiers-Œufs-et-Fromages
111748,True,Rillettes du Mans La Véritable,le pot de 220 g,Bordeau Chesnel,2.32,10.55,Charcuterie
91379,True,Crème fraîche épaisse entière 30% MG,le pot de 441g,Président,2.6,5.9,Produits-Laitiers-Œufs-et-Fromages
224451,True,Fromage à raclette tranchée,La barquette de 350g,Entremont,3.99,11.4,Produits-Laitiers-Œufs-et-Fromages
65450,True,Le Bâton de Berger - Minis saucissons secs nature,100g,Justin Bridou,2.19,21.9,Charcuterie
42772,True,Bâton de Berger - Petits saucissons secs nature,100g,Justin Bridou,2.19,21.9,Charcuterie
39178,True,Sauce soja salée,la bouteille de 250ml,Kikkoman,4.14,16.56,Epicerie-Salée
38287,True,Nouilles japonaises Ramen précuites soja caramel,le sachet de 360g,Tanoshi,3.85,10.69,Produits-du-monde
38301,True,Nouilles japonaises précuites Ramen assaisonnement bœuf,le sachet de 360 g,Tanoshi,3.82,10.61,Epicerie-Salée
115548,True,Nems poulet et sauce Nuoc mam,la barquette de 4 - 280 g,"Itinéraire des Saveurs, une marque Intermarché",1.79,6.39,Produits-du-monde
209702,True,Sirop grenadine,la bouteille de 60cl,Teisseire,2.45,4.08,Epicerie-Sucrée
209701,True,Sirop menthe verte,la bouteille de 60cl,Teisseire,2.3,3.83,Epicerie-Sucrée
33743,True,Crackers japonais pois Wasabi,le sachet de 100g,Tanoshi,2.48,24.8,Produits-du-monde
39006,True,Sauce soja salée,la bouteille de 200ml,Tanoshi,4.11,20.55,Epicerie-Salée
5471,True,Saveur d'Asie - Sauce Nuoc Mam,le flacon de 125 ml,"Itinéraire des Saveurs, une marque Intermarché",1.14,9.12,Produits-du-monde
5472,True,Sauce pour Nems,le pot de 90 g,"Itinéraire des Saveurs, une marque Intermarché",1.29,14.33,Epicerie-Salée
120458,True,Gyoza poulet et légumes avec sauce soja,la boîte de 10 pièces - 212g,Ajinomoto,5.18,24.43,Surgelés
118269,True,Yaourt à la Grecque citron coco vanille,"les 12 pots de 125 g - 1,5kg","Pâturages, une marque Intermarché",4.5,3.0,Produits-Laitiers-Œufs-et-Fromages
218081,True,Crème dessert chocolat saveur noisette,Les 4 pots de 125g - 500g,Danette,1.45,2.9,Epicerie-Sucrée
806,True,Dessert végétal soja framboise passion,les 4 pots de 100g - 400g,Sojasun,2.11,5.28,Epicerie-Sucrée
100676,True,Crème dessert chocolat BIO,les 4 pots de 95g - 380g,Les 2 Vaches,1.61,4.24,Epicerie-Sucrée
34216,True,Dessert végétal au soja noisettes amandes,les 4 pots de 100g - 400g,Sojasun,2.11,5.28,Epicerie-Sucrée
218079,True,Crème dessert chocolat noir extra,les 4 pots de 125g - 500g,Danette,1.45,2.9,Epicerie-Sucrée
218078,True,Crème dessert café,Les 4 pots de 125g - 500g,Danette,1.45,2.9,Epicerie-Sucrée
121799,True,Gourmand & Végétal - Mousse au chocolat au lait de coco,les 4 pots de 55g - 220g,Andros,3.74,17.0,Epicerie-Sucrée
107143,True,Crème dessert vanille BIO,les 4 pots de 95g,Les 2 Vaches,1.61,4.24,Epicerie-Sucrée
807,True,Dessert végétal nature au bifidus,les 6 pots de 100g - 600g,Sojasun,2.71,4.52,Produits-Laitiers-Œufs-et-Fromages
135671,True,Crème dessert caramel BIO,Pot 0.3800,Les 2 Vaches,1.61,4.24,Epicerie-Sucrée
9480,True,Frutimax - Yaourt aux bons morceaux de fruits,"les 12 pots de 125g - 1,5kg","Pâturages, une marque Intermarché",3.39,2.26,Produits-Laitiers-Œufs-et-Fromages
39711,True,Clafoutis aux abricots,les 4 pots de 85g - 340g,La Laitière,3.4,10.0,Epicerie-Sucrée
122546,True,Yaourt à boire P'tit Yab vanille BIO,les 4 bouteilles de 180g,"Pâturages Bio, une marque Intermarché",2.83,3.93,Produits-Laitiers-Œufs-et-Fromages
6317,True,Lait demi-écrémé,les 6 bouteilles de 1 l,"Pâturages, une marque Intermarché",6.3,1.05,Produits-Laitiers-Œufs-et-Fromages
81951,True,Crème UHT semi-épaisse Secret de Crème 25% MG,les 3 briques de 20cl - 60cl,Président,5.0,8.33,Produits-Laitiers-Œufs-et-Fromages
156806,True,Crème fraîche fluide entière Fleurette extra 33% MG,La bouteille de 35cl,Président,2.94,8.45,Produits-Laitiers-Œufs-et-Fromages
14770,True,Fromage à raclette Saveur d'Antan,la barquette de 350 g,Entremont,3.99,11.4,Produits-Laitiers-Œufs-et-Fromages
75381,True,Crème UHT semi-épaisse entière 30% MG,Les 2 bouteilles de 25 cl,Président,4.48,8.96,Produits-Laitiers-Œufs-et-Fromages
40954,True,Lait demi-écrémé,les 6 bouteilles de 1 l,"Pâturages, une marque Intermarché",7.45,1.24,Produits-Laitiers-Œufs-et-Fromages
86383,True,Raclette sans croûte,la barquette de 350 g,Entremont,3.99,11.4,Produits-Laitiers-Œufs-et-Fromages
88892,True,La Bûche fondante,La bûche de 180g,Président,2.12,11.78,Epicerie-Sucrée
208852,True,Œufs frais de poules élevées au sol,La boîte de 12,l'Œuf de nos Villages,3.74,0.32,Produits-Laitiers-Œufs-et-Fromages
34236,True,"Parmigiano reggiano, copeaux de parmesan",le pot de 100g,"Tout frais, Tout prêt !	",4.24,42.4,Produits-Laitiers-Œufs-et-Fromages
200450,True,Parmigiano reggiano AOP râpé,La boîte de 100g,Castelli,3.21,32.1,Produits-Laitiers-Œufs-et-Fromages
37731,True,"Parmigiano reggiano AOP sous film au lait cru de vache 28,4% de mg",La portion de 155 Gr environ,"Tout frais, Tout prêt !",4.21,27.15,Produits-Laitiers-Œufs-et-Fromages
121155,True,Gâteaux Tam Tam l'Original,le sachet de 10 - 275g,St Michel,1.31,4.73,Epicerie-Sucrée
35043,True,Savaroises au chocolat,Les 8 sachets - 220g,St Michel,1.31,5.91,Epicerie-Sucrée
