id,stock,available,title,packaging,brand,product_price,crossed_out_price,unit_price,kilo_litre_price,category
229383,2,True,Shampoing antipelliculaire 2 en 1 classique,Le lot de 3 flacons de 300ml - 900ml,Head & Shoulders,8.9,13.48,9.88,,Promotions
45224,57,True,Pâte à tartiner aux noisettes et au cacao,Le pot de 825g,Nutella,6.76,,8.19,,Promotions
213600,9,True,White Now - Dentifrice blancheur original,Le lot de 3 tubes de 75ml - 225ml,Signal,4.74,7.18,21.02,,Promotions
209491,2,True,"Baby Dry - Couches taille 4, 9-14kg",le paquet de 45 couches,Pampers,10.49,15.89,0.24,,Promotions
92939,142,True,Schoko-Bons - Bonbons de chocolat fourrés lait et noisettes,le sachet de 350 g,Kinder,5.49,,15.69,,Promotions
212783,18,True,Pro Series 1 - Brosse à dents électrique bleue,l'unité,Oral-B,19.35,38.69,19.34,,Promotions
212968,6,True,Gel douche coco et huile de coco,Le lot de 3 flacons de 250ml - 750ml,Tahiti,3.29,4.99,4.39,,Promotions
2240,8,True,Lentilles vertes,la boite de 500 g,"St Eloi, une marque Intermarché",1.64,,3.28,,Promotions
2780,2,True,Mouliné légumes variés,la brique de 1 l,"St Eloi, une marque Intermarché",1.29,,1.29,,Promotions
17754,5,True,Velouté potiron à la crème,la brique de 1 l,"St Eloi, une marque Intermarché",1.69,,1.69,,Promotions
114170,9,True,Véritable cassoulet de Castelnaudary au canard,"la boite de 1,350 kg",Jean Larnaudie,9.77,14.81,7.24,,Promotions
160723,1,True,Petits pots bébé purée de carottes jambon dès 6 mois,les 2 pots de 400g - 800g,Blédina,2.17,,5.43,,Promotions
24197,32,True,Sucre poudre,la poche de 750 g,Béghin Say,1.59,,2.12,,Promotions
27147,1,True,Crème fouettée ferme et onctueuse entière,la bombe de 241 ml,Président,3.47,,13.88,,Promotions
2060,59,True,Lait demi-écrémé BIO,les 6 bouteilles de 1 l - 6l,"Pâturages Bio, une marque Intermarché",6.7,,1.12,,Promotions
26776,21,True,Emmental français râpé,le sachet de 350g,"Pâturages, une marque Intermarché",2.92,,8.34,,Promotions
111748,17,True,Rillettes du Mans La Véritable,le pot de 220 g,Bordeau Chesnel,2.32,,10.55,,Promotions
91379,4,True,Crème fraîche épaisse entière 30% MG,le pot de 441g,Président,2.6,,5.9,,Promotions
224451,15,True,Fromage à raclette tranchée,La barquette de 350g,Entremont,3.99,,11.4,,Promotions
65450,8,True,Le Bâton de Berger - Minis saucissons secs nature,100g,Justin Bridou,2.19,,21.9,,Promotions
42772,22,True,Bâton de Berger - Petits saucissons secs nature,100g,Justin Bridou,2.19,,21.9,,Promotions
39178,3,True,Sauce soja salée,la bouteille de 250ml,Kikkoman,4.14,,16.56,,Promotions
38287,1,True,Nouilles japonaises Ramen précuites soja caramel,le sachet de 360g,Tanoshi,3.85,,10.69,,Promotions
38301,12,True,Nouilles japonaises précuites Ramen assaisonnement bœuf,le sachet de 360 g,Tanoshi,3.82,,10.61,,Promotions
115548,10,True,Nems poulet et sauce Nuoc mam,la barquette de 4 - 280 g,"Itinéraire des Saveurs, une marque Intermarché",1.79,,6.39,,Promotions
209702,12,True,Sirop grenadine,la bouteille de 60cl,Teisseire,2.45,,4.08,,Promotions
209701,13,True,Sirop menthe verte,la bouteille de 60cl,Teisseire,2.3,,3.83,,Promotions
33743,20,True,Crackers japonais pois Wasabi,le sachet de 100g,Tanoshi,2.48,,24.8,,Promotions
39006,3,True,Sauce soja salée,la bouteille de 200ml,Tanoshi,4.11,,20.55,,Promotions
5471,7,True,Saveur d'Asie - Sauce Nuoc Mam,le flacon de 125 ml,"Itinéraire des Saveurs, une marque Intermarché",1.14,,9.12,,Promotions
5472,4,True,Sauce pour Nems,le pot de 90 g,"Itinéraire des Saveurs, une marque Intermarché",1.29,,14.33,,Promotions
120458,4,True,Gyoza poulet et légumes avec sauce soja,la boîte de 10 pièces - 212g,Ajinomoto,5.18,,24.43,,Promotions
118269,2,True,Yaourt à la Grecque citron coco vanille,"les 12 pots de 125 g - 1,5kg","Pâturages, une marque Intermarché",4.5,,3.0,,Promotions
218081,4,True,Crème dessert chocolat saveur noisette,Les 4 pots de 125g - 500g,Danette,1.45,,2.9,,Promotions
806,6,True,Dessert végétal soja framboise passion,les 4 pots de 100g - 400g,Sojasun,2.11,,5.28,,Promotions
100676,10,True,Crème dessert chocolat BIO,les 4 pots de 95g - 380g,Les 2 Vaches,1.61,,4.24,,Promotions
34216,3,True,Dessert végétal au soja noisettes amandes,les 4 pots de 100g - 400g,Sojasun,2.11,,5.28,,Promotions
218079,6,True,Crème dessert chocolat noir extra,les 4 pots de 125g - 500g,Danette,1.45,,2.9,,Promotions
218078,16,True,Crème dessert café,Les 4 pots de 125g - 500g,Danette,1.45,,2.9,,Promotions
121799,5,True,Gourmand & Végétal - Mousse au chocolat au lait de coco,les 4 pots de 55g - 220g,Andros,3.74,,17.0,,Promotions
107143,5,True,Crème dessert vanille BIO,les 4 pots de 95g,Les 2 Vaches,1.61,,4.24,,Promotions
807,2,True,Dessert végétal nature au bifidus,les 6 pots de 100g - 600g,Sojasun,2.71,,4.52,,Promotions
135671,7,True,Crème dessert caramel BIO,Pot 0.3800,Les 2 Vaches,1.61,,4.24,,Promotions
9480,1,True,Frutimax - Yaourt aux bons morceaux de fruits,"les 12 pots de 125g - 1,5kg","Pâturages, une marque Intermarché",3.39,,2.26,,Promotions
39711,1,True,Clafoutis aux abricots,les 4 pots de 85g - 340g,La Laitière,3.4,,10.0,,Promotions
122546,3,True,Yaourt à boire P'tit Yab vanille BIO,les 4 bouteilles de 180g,"Pâturages Bio, une marque Intermarché",2.83,,3.93,,Promotions
6317,58,True,Lait demi-écrémé,les 6 bouteilles de 1 l,"Pâturages, une marque Intermarché",6.3,,1.05,,Promotions
81951,3,True,Crème UHT semi-épaisse Secret de Crème 25% MG,les 3 briques de 20cl - 60cl,Président,5.0,,8.33,,Promotions
156806,1,True,Crème fraîche fluide entière Fleurette extra 33% MG,La bouteille de 35cl,Président,2.94,,8.45,,Promotions
14770,7,True,Fromage à raclette Saveur d'Antan,la barquette de 350 g,Entremont,3.99,,11.4,,Promotions
75381,9,True,Crème UHT semi-épaisse entière 30% MG,Les 2 bouteilles de 25 cl,Président,4.48,,8.96,,Promotions
40954,8,True,Lait demi-écrémé,les 6 bouteilles de 1 l,"Pâturages, une marque Intermarché",7.45,,1.24,,Promotions
86383,8,True,Raclette sans croûte,la barquette de 350 g,Entremont,3.99,,11.4,,Promotions
88892,16,True,La Bûche fondante,La bûche de 180g,Président,2.12,,11.78,,Promotions
208852,8,True,Œufs frais de poules élevées au sol,La boîte de 12,l'Œuf de nos Villages,3.74,,0.32,,Promotions
34236,5,True,"Parmigiano reggiano, copeaux de parmesan",le pot de 100g,"Tout frais, Tout prêt !	",4.24,,42.4,,Promotions
200450,10,True,Parmigiano reggiano AOP râpé,La boîte de 100g,Castelli,3.21,,32.1,,Promotions
37731,4,True,"Parmigiano reggiano AOP sous film au lait cru de vache 28,4% de mg",La portion de 155 Gr environ,"Tout frais, Tout prêt !",4.21,,27.15,,Promotions
121155,18,True,Gâteaux Tam Tam l'Original,le sachet de 10 - 275g,St Michel,1.31,1.87,4.73,,Promotions
35043,18,True,Savaroises au chocolat,Les 8 sachets - 220g,St Michel,1.31,1.87,5.91,,Promotions
121108,7,True,Gâteaux Tam Tam chocolat chocolat-blanc,le sachet de 8 - 220g,St Michel,1.31,1.87,5.91,,Promotions
47691,125,True,Pâte à tartiner aux noisettes et au cacao,le pot de 630 g,Nutella,5.8,,9.21,,Promotions
225622,10,True,Pâte à tartiner aux noisettes et au cacao,Le pot de 220g,Nutella,3.03,,13.77,,Promotions
15297,4,True,Sucre vanillé 100% naturel,"les 10 sachets de 7,5g - 75g",Vahiné,2.04,,27.2,,Promotions
72496,5,True,Miel de montagne,le pot de 500g,Miel l'Apiculteur,5.49,,10.98,,Promotions
15300,18,True,Sucre vanillé Madagascar,"le sachet 37,5g",Vahiné,2.21,,59.73,,Promotions
33549,7,True,Miel de France,le pot de 500 g,Miel l'Apiculteur,5.49,,10.98,,Promotions
22626,7,True,Miel de nos terroirs,le pot de 500g,Miel l'Apiculteur,5.49,,10.98,,Promotions
1116,33,True,Farine de blé spéciale cuisine et pâtisserie,le paquet de 1kg,"Chabrior, une marque Intermarché",0.85,,0.85,,Promotions
366,4,True,Confiture extra de fraises,le pot de 370 g,"Paquito, une marque Intermarché",1.09,,2.95,,Promotions
82796,38,True,Excellence - Chocolat noir intense 70% cacao,la tablette de 100 g,Lindt,2.1,,21.0,,Promotions
132998,2,True,Biscuits gaufrettes fourrées au lait et au cacao - Cards,la boite de 20 biscuits - 256 g,Kinder,4.55,,17.77,,Promotions
82795,20,True,Excellence - Chocolat noir puissant 85% cacao,la tablette de 100 g,Lindt,2.22,,22.2,,Promotions
60593,7,True,Excellence - Chocolat noir à la pointe de fleur de sel,la tablette de 100 g,Lindt,1.86,,18.6,,Promotions
90179,9,True,Pâte à tartiner aux noisettes,le pot de 600 g,"Ivoria, une marque Intermarché",3.42,,5.7,,Promotions
4278,7,True,Barres de céréales chocolat noir,les 6 barres de 21 g,"Chabrior, une marque Intermarché",1.43,,11.35,,Promotions
53544,14,True,Maxi - Barre chocolatées fourrées lait,la boite de 20 barres - 420 g - Bon Plan,Kinder,7.24,,17.24,,Promotions
336,8,True,Confiture extra abricots,le pot de 370 g,"Paquito, une marque Intermarché",1.35,,3.65,,Promotions
43595,2,True,Excellence - Chocolat noir subtil 70% cacao doux,la tablette de 100 g,Lindt,2.21,,22.1,,Promotions
14629,1,True,Pur sirop d'érable,le flacon de 250 g,Maple Joe,4.65,,18.6,,Promotions
208359,3,True,Nocciolata - Pâte à tartiner cacao et noisettes BIO,le pot de 250g,Rigoni di Asiago,4.3,,17.2,,Promotions
22566,10,True,Excellence - Chocolat noir Prodigieux 90% cacao,la tablette de 100 g,Lindt,2.31,,23.1,,Promotions
82797,12,True,Excellence - Chocolat noir orange intense,la tablette de 100 g,Lindt,2.19,,21.9,,Promotions
129655,17,True,6 barres céréalières à la framboise et à la fraise,les 6 barres de 18 g,"Chabrior, une marque Intermarché",1.25,,11.57,,Promotions
82794,5,True,Excellence - Chocolat noir caramel à la pointe de sel,la tablette de 100 g,Lindt,2.19,,21.9,,Promotions
92731,15,True,Crêpes de Landerneau,le paquet de 300 g,Le Ster,2.62,,8.73,,Promotions
7218,8,True,Barres céréales pomme,la boite de 6 barres - 126 g,"Chabrior, une marque Intermarché",1.45,,11.51,,Promotions
