main_category,productId,retailerProductId,name,price_eur,price_per_kg_eur,categoryPath,brand,available,maxQuantityReached,featured,guaranteed_life_quantity,guaranteed_life_unit,size_value,attributes_labels,image_src
Animaux,8c992b55-4159-4b9d-975d-8d9483e7c15b,MPX_1921121,"Purina One Croquettes Chat Stérilisé Au Boeuf Et Blé 1,5Kg",9.95,6.63,"['Animaux', 'Chat', 'Croquettes', 'Stérilisés']",Purina one,True,False,false,6.0,MONTH,1.5kg,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/eb542b20-e7b1-4910-898f-12c4afa4c8e7/300x300.jpg
Animaux,2bad2639-21a3-45e0-a3c1-a5b75bd528d0,MPX_2064993,"Purina One Croquettes Chat Stérilisé Au Saumon Et Céréales 1,5Kg",9.85,6.57,"['Animaux', 'Chat', 'Croquettes', 'Stérilisés']",Purina one,True,False,false,6.0,MONTH,1.5kg,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/92e16568-0735-48f3-a70f-1064f28225de/300x300.jpg
Animaux,22f4d79b-a81f-409e-b06c-611e913fb024,MPX_6686550,Ultima Nature Terrine au Saumon 85g,1.09,1.28,"['Animaux', 'Chat', 'Sachets', 'Standard']",ULTIMA NATURE,True,False,false,6.0,MONTH,0.85kg,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/b9a73dca-1437-4830-b67c-d3eada270403/300x300.jpg
Animaux,b96d7d3e-b536-43dd-bec8-18b2abea28fb,MPX_6714161,Ultima Nature Terrine Poulet & Bœuf 4x85g,4.09,12.03,"['Animaux', 'Chat', 'Sachets', 'Standard']",ULTIMA NATURE,True,False,false,6.0,MONTH,4 x 85g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/b9e020c3-fb98-46d2-9efc-5ceb980e4cc3/300x300.jpg
Animaux,d009f472-95c8-4b3f-abd8-acb2bb4df2cc,MPX_4788085,Petty Well Croquette pour Chat Poulet et petits légumes 1kg,9.09,9.09,"['Animaux', 'Chat', 'Croquettes', 'Adultes']",Petty Well,True,False,false,6.0,MONTH,1kg,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/41c1133c-a6bb-4d4d-bfda-6db86684451e/300x300.jpg
Animaux,b49b7a82-0a27-4c7a-9e22-f86ad2b7f0f6,MPX_6596291,Petty Well mijoté au poulet pour chat 85g,1.39,16.35,"['Animaux', 'Chat', 'Boites et Barquettes', 'Standard']",Petty Well,True,False,false,6.0,MONTH,0.085kg,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/2089154a-445c-42ec-9d40-77633e4da7ad/300x300.jpg
Animaux,17fe53dd-5418-4811-9e09-27a2b6b41927,MPX_4788084,Petty Well Croquette pour chat saumon et petits légumes 1kg,8.99,8.99,"['Animaux', 'Chat', 'Croquettes', 'Adultes']",Petty Well,True,False,false,6.0,MONTH,1000g,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/db11f0c2-a708-4d00-b2ff-91b1381b850f/300x300.jpg
Animaux,0fe77782-bec5-4fa2-ab53-3aa047fcee33,MPX_3859604,"Purina One Croquettes pour Chien Mini -10kg Contrôle du Poids 1,5kg",7.09,4.73,"['Animaux', 'Chien', 'Croquettes', 'Petits Chiens (moins de 10 kilos)']",Purina,True,False,false,1.0,MONTH,1.5kg,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/772d3fe5-a34c-4ab2-aab8-dd2854bfb609/300x300.jpg
Animaux,eeb9bc13-1072-431c-981c-385b866652f2,MPX_4788086,Petty well croquettes chien petite taille au poulet 1kg,9.39,9.39,"['Animaux', 'Chien', 'Croquettes', 'Petits Chiens (moins de 10 kilos)']",Petty Well,True,False,false,6.0,MONTH,1kg,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/8ff4d2c1-1964-49b5-8725-80eb0ff0fb98/300x300.jpg
Animaux,40735017-b24c-468f-8220-f818184aaba0,MPX_2753156,Catsan Litière Minérale Agglomérante Pour Chat 5L,6.29,1.26,"['Animaux', 'Chat', 'Litière']",Catsan,True,False,false,,,5L,[],https://courses.monoprix.fr/images-v3/0c44253f-c4a3-4340-9d37-d41e42b9d14a/cf0f0010-95e3-49a7-ab66-a66f588e4806/300x300.jpg
